time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
5.258119,-0.0049,0.0072,0.0002,0.009
5.259279,-0.0003,-0.0023,0.0119,0.012
5.273197,-0.0027,-0.0141,0.0023,0.015
5.278062,-0.0146,0.0026,-0.0071,0.016
5.289353,-0.0120,-0.0186,-0.0023,0.022
5.307906,-0.0048,0.0077,-0.0070,0.011
5.309085,-0.0096,0.0004,-0.0022,0.010
5.322478,0.0047,0.0098,0.0049,0.012
5.327091,-0.0213,0.0027,0.0025,0.022
5.342775,0.0027,-0.0138,0.0072,0.016
5.355936,0.0025,0.0099,-0.0000,0.010
5.357222,-0.0071,-0.0020,-0.0047,0.009
