time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
3.703323,-0.0059,-0.0010,-0.0080,0.010
3.710274,-0.0153,-0.0010,0.0115,0.019
3.720150,0.0140,-0.0106,0.0213,0.028
3.730474,-0.0246,-0.0105,0.0115,0.029
3.740432,0.0333,-0.0295,0.0017,0.045
3.755268,-0.0154,0.0291,-0.0178,0.037
3.760266,-0.0152,0.0485,-0.0080,0.051
3.775584,-0.0053,0.0287,-0.0374,0.047
3.780321,-0.0051,0.0189,-0.0080,0.021
3.790299,-0.0147,-0.0006,0.0115,0.019
3.803094,-0.0243,-0.0006,-0.0080,0.026
3.810249,-0.0046,0.0189,0.0115,0.023
3.820507,0.0345,0.0286,-0.0080,0.046
3.830645,-0.0142,0.0090,0.0017,0.017
3.840527,-0.0043,-0.0396,0.0115,0.041
3.854767,0.0151,0.0096,0.0115,0.021
3.860159,-0.0236,0.0191,0.0115,0.032
3.874571,-0.0228,-0.0100,0.0016,0.025
3.880440,0.0065,-0.0289,0.0114,0.032
3.890571,0.0162,-0.0092,0.0506,0.054
3.903978,0.0254,-0.0474,0.0114,0.055
3.910514,0.0056,-0.0272,0.0114,0.030
3.920462,-0.0042,-0.0461,0.0310,0.056
3.930658,0.0053,-0.0067,0.0114,0.014
3.940328,-0.0044,0.0030,0.0114,0.013
3.955577,0.0052,0.0126,0.0114,0.018
3.960306,-0.0044,-0.0067,-0.0082,0.011
3.977506,0.0054,0.0318,0.0114,0.034
3.980434,-0.0138,0.0119,0.0114,0.021
3.990288,-0.0135,0.0212,0.0114,0.028
4.003220,0.0059,0.0400,-0.0179,0.044
4.010262,0.0251,0.0393,-0.0179,0.050
4.020291,0.0246,0.0096,-0.0080,0.028
4.030427,0.0049,0.0096,0.0115,0.016
4.040212,-0.0047,0.0094,0.0017,0.011
4.054511,0.0147,-0.0099,-0.0178,0.025
4.060302,-0.0141,0.0094,-0.0080,0.019
4.073990,0.0148,0.0090,0.0017,0.017
4.080174,-0.0045,0.0087,-0.0080,0.013
4.090157,-0.0137,-0.0011,0.0017,0.014
4.104965,-0.0039,0.0085,0.0115,0.015
4.110371,-0.0134,-0.0397,0.0115,0.043
4.121100,-0.0319,-0.0006,0.0016,0.032
4.130356,0.0069,0.0088,0.0016,0.011
4.140280,0.0164,0.0570,-0.0277,0.065
4.154437,0.0159,0.0172,0.0017,0.023
4.160328,0.0060,0.0166,0.0017,0.018
4.184501,0.0546,0.0067,0.0312,0.063
4.184953,-0.0040,-0.0221,0.0115,0.025
4.190712,-0.0134,-0.0120,0.0115,0.021
4.200849,0.0349,-0.0022,0.0115,0.037
4.210493,0.0441,0.0074,0.0116,0.046
4.220295,-0.0046,0.0073,0.0017,0.009
4.230317,0.0050,0.0264,-0.0079,0.028
